,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location,latitude,longitude,Zipcode
218,100105562,1/30/10,1/29/10,1500,1,Central,152,901,VIOLATION OF RESTRAINING ORDER,,0,F,H,738.0,LIBRARY,,,IC,Invest Cont,901.0,,,,600 W  5TH                          ST,,"(34.0502, -118.254)",34.0502,-118.254,90071
219,100105567,1/30/10,1/29/10,1835,1,Central,192,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,34,M,A,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,740.0,,,,HOPE,VENICE,"(34.0363, -118.2677)",34.0363,-118.2677,90015
220,100105568,1/30/10,1/30/10,100,1,Central,195,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,56,M,W,203.0,OTHER BUSINESS,,,AA,Adult Arrest,740.0,,,,1700    MAPLE                        AV,,"(34.0308, -118.2602)",34.0308,-118.2602,90015
221,100105586,1/30/10,1/22/10,1900,1,Central,195,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,24,M,B,504.0,OTHER RESIDENCE,,,IC,Invest Cont,341.0,,,,1800 S  MAIN                         ST,,"(34.0317, -118.2641)",34.0317,-118.2641,90015
222,100105594,1/30/10,1/30/10,945,1,Central,148,220,ATTEMPTED ROBBERY,0302 0432 0906 0907 1100 1402,30,M,B,102.0,SIDEWALK,102.0,HAND GUN,AO,Adult Other,220.0,998.0,,,6TH,STANFORD,"(34.0403, -118.2421)",34.0403,-118.2421,90013
223,100105595,1/30/10,1/30/10,945,1,Central,158,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0411 0417 0429,33,M,B,102.0,SIDEWALK,207.0,OTHER KNIFE,AO,Adult Other,230.0,,,,6TH,STANFORD,"(34.0403, -118.2421)",34.0403,-118.2421,90013
224,100105607,1/30/10,1/30/10,1745,1,Central,127,440,THEFT PLAIN - PETTY ($950 & UNDER),344,0,M,O,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,440.0,,,,600 N  ALAMEDA                      ST,,"(34.0533, -118.2379)",34.0533,-118.2379,90012
225,100105622,1/31/10,1/31/10,1400,1,Central,181,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,36,F,B,710.0,OTHER PREMISE,,,IC,Invest Cont,341.0,,,,1100    CHERRY                       ST,,"(34.0451, -118.27)",34.0451,-118.27,90015
226,100105623,1/31/10,1/31/10,1600,1,Central,182,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",701,40,F,O,108.0,PARKING LOT,,,IC,Invest Cont,341.0,,,,12TH                         ST,FIGUEROA                     ST,"(34.0423, -118.2666)",34.0423,-118.2666,90015
227,100105633,1/31/10,1/31/10,1800,1,Central,152,210,ROBBERY,0344 0416,33,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,7TH                          ST,HOPE                         ST,"(34.048, -118.2577)",34.048,-118.2577,90071
228,100105641,1/31/10,1/4/10,2100,1,Central,152,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0400,19,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,600 S  FLOWER                       ST,,"(34.0502, -118.2574)",34.0502,-118.2574,90071
229,100105644,2/1/10,1/29/10,1200,1,Central,152,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",,49,F,A,203.0,OTHER BUSINESS,,,AO,Adult Other,956.0,,,,500 S  FLOWER                       ST,,"(34.0516, -118.2561)",34.0516,-118.2561,90071
230,100105649,2/1/10,1/30/10,1800,1,Central,111,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,800    ALPINE                       ST,,"(34.0637, -118.244)",34.0637,-118.244,90012
231,100105672,2/2/10,2/1/10,1840,1,Central,185,900,VIOLATION OF COURT ORDER,1501,34,M,W,702.0,OFFICE BUILDING/OFFICE,,,AO,Adult Other,900.0,,,,100 E  9TH                          ST,,"(34.0416, -118.255)",34.0416,-118.255,90014
232,100105674,2/2/10,2/1/10,2100,1,Central,111,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,CESAR E CHAVEZ,HILL                         PL,"(34.0599, -118.2426)",34.0599,-118.2426,90012
233,100105697,2/2/10,2/2/10,515,1,Central,119,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,900    AVILA                        ST,,"(34.057, -118.2327)",34.057,-118.2327,90012
234,100105709,2/2/10,2/2/10,1600,1,Central,157,900,VIOLATION OF COURT ORDER,601,0,M,B,504.0,OTHER RESIDENCE,,,IC,Invest Cont,900.0,,,,500 S  SAN PEDRO                    ST,,"(34.0442, -118.2439)",34.0442,-118.2439,90013
235,100105732,2/3/10,1/10/10,1200,1,Central,159,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,800 E  4TH                          ST,,"(34.0433, -118.2377)",34.0433,-118.2377,90013
236,100105771,2/3/10,2/3/10,1630,1,Central,185,946,OTHER MISCELLANEOUS CRIME,1402,0,M,O,203.0,OTHER BUSINESS,,,AA,Adult Arrest,946.0,998.0,,,300 E  12TH                         ST,,"(34.0363, -118.2573)",34.0363,-118.2573,90015
237,100105789,2/3/10,2/3/10,1720,1,Central,157,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402,60,M,O,122.0,"VEHICLE, PASSENGER/TRUCK",,,AA,Adult Arrest,740.0,998.0,,,STANFORD,7TH,"(34.039, -118.2444)",34.039,-118.2444,90013
238,100105791,2/3/10,2/2/10,1300,1,Central,182,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,30,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,341.0,,,,11TH                         ST,GRAND                        AV,"(34.0416, -118.262)",34.0416,-118.262,90015
239,100105794,2/3/10,2/3/10,2030,1,Central,182,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0429 2000,0,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,1100 S  GRAND                        AV,,"(34.0416, -118.262)",34.0416,-118.262,90015
240,100105810,2/4/10,2/4/10,100,1,Central,158,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1415,22,M,H,103.0,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,821.0,,,,6TH                          ST,KOHLER                       ST,"(34.0394, -118.2405)",34.0394,-118.2405,90013
241,100105825,2/4/10,2/4/10,900,1,Central,174,350,"THEFT, PERSON",0344 1008,63,M,W,101.0,STREET,,,IC,Invest Cont,350.0,,,,100 W  7TH                          ST,,"(34.0439, -118.2514)",34.0439,-118.2514,90014
242,100105845,2/4/10,2/4/10,1000,1,Central,176,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,26,M,O,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,700    MAPLE                        AV,,"(34.0424, -118.2493)",34.0424,-118.2493,90014
243,1208575,3/14/13,3/11/13,1800,12,77th Street,1241,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0446 1243 2000,30,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,6300    BRYNHURST                    AV,,"(33.9829, -118.3338)",33.9829,-118.3338,90043
244,100105853,2/4/10,1/24/10,2146,1,Central,162,440,THEFT PLAIN - PETTY ($950 & UNDER),1501,99,M,W,404.0,DEPARTMENT STORE,,,IC,Invest Cont,440.0,,,,700 W  7TH                          ST,,"(34.048, -118.2577)",34.048,-118.2577,90071
245,100105858,2/5/10,2/4/10,1925,1,Central,153,440,THEFT PLAIN - PETTY ($950 & UNDER),325,0,M,H,203.0,OTHER BUSINESS,,,AA,Adult Arrest,440.0,,,,500 S  BROADWAY,,"(34.0481, -118.2507)",34.0481,-118.2507,90014
246,100105865,2/5/10,2/4/10,100,1,Central,119,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",416,52,M,B,214.0,"BUS DEPOT/TERMINAL, OTHER THAN MTA",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,,,,800 N  ALAMEDA                      ST,,"(34.0563, -118.2374)",34.0563,-118.2374,90012
247,100105878,2/5/10,1/3/10,1400,1,Central,155,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,46,F,B,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,341.0,,,,500    MAPLE                        AV,,"(34.0454, -118.2466)",34.0454,-118.2466,90013
248,100105883,2/5/10,2/3/10,1705,1,Central,195,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0601,49,M,A,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,1400 S  MAIN                         ST,,"(34.035, -118.2615)",34.035,-118.2615,90015
249,100105902,2/6/10,2/6/10,100,1,Central,101,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1000    ALPINE                       ST,,"(34.0649, -118.2465)",34.0649,-118.2465,90012
250,100105913,2/6/10,2/5/10,1100,1,Central,118,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,1200 N  MAIN                         ST,,"(34.064, -118.2327)",34.064,-118.2327,90012
251,100105920,2/6/10,2/5/10,1830,1,Central,181,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,0,M,O,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,1100 S  FIGUEROA                     ST,,"(34.0437, -118.2652)",34.0437,-118.2652,90015
252,100105939,2/6/10,2/5/10,900,1,Central,152,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,51,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,341.0,,,,600    WILSHIRE                     BL,,"(34.048, -118.256)",34.048,-118.256,90071
253,100105957,2/7/10,2/6/10,1850,1,Central,142,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,25,M,B,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,500 W  5TH                          ST,,"(34.0495, -118.2529)",34.0495,-118.2529,90071
254,100105972,2/7/10,2/7/10,1110,1,Central,182,210,ROBBERY,0344 0400,58,M,B,124.0,BUS STOP,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,PICO                         BL,GRAND                        AV,"(34.0389, -118.2643)",34.0389,-118.2643,90015
255,100105977,2/7/10,2/1/10,1000,1,Central,132,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,37,M,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,200 S  GRAND                        AV,,"(34.0545, -118.2499)",34.0545,-118.2499,90071
256,100105991,2/8/10,2/7/10,1415,1,Central,152,860,BATTERY WITH SEXUAL CONTACT,400,0,F,B,738.0,LIBRARY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,,,,600 W  5TH                          ST,,"(34.0502, -118.254)",34.0502,-118.254,90071
257,100105992,2/8/10,2/7/10,1415,1,Central,152,860,BATTERY WITH SEXUAL CONTACT,400,0,F,B,738.0,LIBRARY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,,,,600 W  5TH                          ST,,"(34.0502, -118.254)",34.0502,-118.254,90071
258,100106011,2/8/10,2/5/10,1630,1,Central,192,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1810,53,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,1300 S  OLIVE                        ST,,"(34.0381, -118.2629)",34.0381,-118.2629,90015
259,100106012,2/8/10,1/27/10,1800,1,Central,164,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0601 1803,52,M,A,504.0,OTHER RESIDENCE,,,IC,Invest Cont,341.0,,,,600 S  MAIN                         ST,,"(34.0453, -118.2499)",34.0453,-118.2499,90014
260,100106023,2/8/10,2/8/10,1450,1,Central,162,440,THEFT PLAIN - PETTY ($950 & UNDER),325,0,M,B,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,700 W  7TH                          ST,,"(34.048, -118.2577)",34.048,-118.2577,90071
261,100106028,2/9/10,2/8/10,1200,1,Central,153,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,73,F,W,709.0,PUBLIC RESTROOM(INDOORS-INSIDE),,,IC,Invest Cont,341.0,,,,600 S  HILL                         ST,,"(34.0474, -118.2531)",34.0474,-118.2531,90014
262,100106036,2/5/10,2/4/10,1030,1,Central,157,210,ROBBERY,0342 0344 0352 0416 0420 0417 0429 0444 1202 1221,70,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,6TH                          ST,SAN PEDRO,"(34.0417, -118.2443)",34.0417,-118.2443,90013
263,100106067,2/9/10,2/8/10,1215,1,Central,185,624,BATTERY - SIMPLE ASSAULT,0319 0400 0601,44,F,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,1100    SANTEE                       ST,,"(34.0378, -118.2561)",34.0378,-118.2561,90014
264,100106068,2/9/10,2/9/10,1430,1,Central,132,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,200 S  GRAND                        AV,,"(34.0545, -118.2499)",34.0545,-118.2499,90071
265,100106084,2/10/10,2/5/10,1200,1,Central,162,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0601,30,F,A,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,341.0,,,,800 W  7TH                          ST,,"(34.0487, -118.2588)",34.0487,-118.2588,90071
266,100106134,2/10/10,2/10/10,930,1,Central,135,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,300 S  SPRING                       ST,,"(34.0503, -118.247)",34.0503,-118.247,90013
267,100106150,2/10/10,1/13/10,1,1,Central,155,946,OTHER MISCELLANEOUS CRIME,,0,M,O,726.0,POLICE FACILITY,,,IC,Invest Cont,946.0,,,,200 E  6TH                          ST,,"(34.0446, -118.249)",34.0446,-118.249,90014
268,100106160,2/11/10,2/8/10,2000,1,Central,192,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,61,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740.0,,,,1300 S  HOPE                         ST,,"(34.0395, -118.2656)",34.0395,-118.2656,90015
269,100106174,2/11/10,2/11/10,615,1,Central,119,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,500    RAMIREZ                      ST,,"(34.0552, -118.2322)",34.0552,-118.2322,90012
270,100106198,2/11/10,2/11/10,1030,1,Central,192,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,HOPE,PICO,"(34.0391, -118.2659)",34.0391,-118.2659,90015
271,100106243,2/12/10,1/5/10,2100,1,Central,127,310,BURGLARY,,0,M,W,710.0,OTHER PREMISE,,,IC,Invest Cont,310.0,,,,100 N  LOS ANGELES                  ST,,"(34.0515, -118.2424)",34.0515,-118.2424,90013
272,100106251,2/12/10,2/11/10,1900,1,Central,118,900,VIOLATION OF COURT ORDER,906,0,M,W,102.0,SIDEWALK,,,IC,Invest Cont,900.0,,,,BLOOM,CARDINAL,"(34.0633, -118.229)",34.0633,-118.229,90012
273,100106254,2/12/10,2/3/10,450,1,Central,162,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0601,46,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,341.0,,,,800 S  FIGUEROA                     ST,,"(34.0479, -118.2612)",34.0479,-118.2612,90017
274,100106275,2/13/10,2/13/10,330,1,Central,118,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,LLEWELLYN,N  SPRING,"(34.0663, -118.2302)",34.0663,-118.2302,90012
275,100106276,2/13/10,2/13/10,330,1,Central,118,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,LLEWELLYN,N  SPRING,"(34.0663, -118.2302)",34.0663,-118.2302,90012
276,100106291,2/13/10,2/11/10,2130,1,Central,146,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,4TH                          ST,LOS ANGELES                  ST,"(34.047, -118.2458)",34.047,-118.2458,90013
277,100106292,2/13/10,2/13/10,1200,1,Central,153,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,HILL                         ST,6TH                          ST,"(34.0474, -118.2531)",34.0474,-118.2531,90014
278,100106300,2/13/10,2/13/10,1530,1,Central,131,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,56,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,740.0,,,,100 S  FIGUEROA                     ST,,"(34.0578, -118.252)",34.0578,-118.252,90071
279,100106309,2/13/10,2/13/10,1400,1,Central,138,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,44,F,O,406.0,OTHER STORE,,,IC,Invest Cont,341.0,,,,200    BOYD                         ST,,"(34.0478, -118.2454)",34.0478,-118.2454,90013
280,100106346,2/14/10,2/14/10,1120,1,Central,119,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,AO,Adult Other,510.0,,,,400    BAUCHET                      ST,,"(34.0587, -118.233)",34.0587,-118.233,90012
281,100106354,2/15/10,2/15/10,10,1,Central,192,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0906,29,M,W,701.0,HOSPITAL,,,AA,Adult Arrest,740.0,,,,1300 S  HOPE                         ST,,"(34.0395, -118.2656)",34.0395,-118.2656,90015
282,100106357,2/15/10,2/15/10,200,1,Central,127,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1501,0,M,W,726.0,POLICE FACILITY,,,IC,Invest Cont,745.0,,,,TEMPLE                       ST,LOS ANGELES                  ST,"(34.0534, -118.2409)",34.0534,-118.2409,90012
283,418,3/19/13,3/18/13,2030,18,Southeast,1823,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,200 E  104TH                        ST,,"(33.942, -118.2717)",33.942,-118.2717,90061
284,100106359,2/15/10,2/15/10,30,1,Central,192,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0408 0417 0421 0429 0906 2000,37,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,1500 S  HOPE                         ST,,"(34.0371, -118.2672)",34.0371,-118.2672,90015
285,100106390,2/15/10,2/15/10,1810,1,Central,155,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0429 0500,38,F,W,710.0,OTHER PREMISE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,810.0,,,,200 E  6TH                          ST,,"(34.0446, -118.249)",34.0446,-118.249,90014
286,100106391,2/15/10,2/15/10,1740,1,Central,162,440,THEFT PLAIN - PETTY ($950 & UNDER),325,0,F,H,404.0,DEPARTMENT STORE,,,IC,Invest Cont,440.0,,,,700 W  7TH                          ST,,"(34.048, -118.2577)",34.048,-118.2577,90071
287,100106427,2/16/10,2/9/10,1400,1,Central,154,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",432,41,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956.0,,,,500 S  MAIN                         ST,,"(34.0467, -118.2485)",34.0467,-118.2485,90014
288,100106445,2/17/10,2/16/10,2330,1,Central,182,510,VEHICLE - STOLEN,,0,,,103.0,ALLEY,,,IC,Invest Cont,510.0,,,,1000 S  GRAND                        AV,,"(34.043, -118.2606)",34.043,-118.2606,90015
289,100106460,2/17/10,1/31/10,2100,1,Central,154,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,500 S  MAIN                         ST,,"(34.0467, -118.2485)",34.0467,-118.2485,90014
290,100106477,2/17/10,2/7/10,2200,1,Central,162,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,8TH,FLOWER,"(34.0473, -118.2601)",34.0473,-118.2601,90017
291,100106492,2/17/10,2/16/10,2000,1,Central,161,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,51,M,H,717.0,HEALTH SPA/GYM,,,IC,Invest Cont,341.0,,,,700 S  FIGUEROA                     ST,,"(34.0494, -118.2599)",34.0494,-118.2599,90071
292,100106493,2/17/10,2/12/10,135,1,Central,139,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,31,F,W,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,341.0,,,,700 E  3RD                          ST,,"(34.0455, -118.2379)",34.0455,-118.2379,90013
293,100106500,2/17/10,2/17/10,1545,1,Central,152,649,DOCUMENT FORGERY / STOLEN FELONY,0100 0800 0924,0,F,H,602.0,BANK,,,IC,Invest Cont,649.0,,,,700    WILSHIRE                     BL,,"(34.0487, -118.2571)",34.0487,-118.2571,90071
294,100106511,2/17/10,2/17/10,1730,1,Central,195,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",,19,F,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,956.0,,,,100 E  WASHINGTON                   BL,,"(34.0311, -118.2646)",34.0311,-118.2646,90015
295,100106514,2/18/10,2/16/10,100,1,Central,157,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,7TH                          ST,TOWNE                        ST,"(34.039, -118.2444)",34.039,-118.2444,90013
296,100106520,2/18/10,2/18/10,1115,1,Central,138,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1202,78,M,X,101.0,STREET,,,IC,Invest Cont,420.0,,,,400 E  3RD                          ST,,"(34.0473, -118.2425)",34.0473,-118.2425,90013
297,100106540,2/18/10,2/18/10,1200,1,Central,195,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,PICO                         BL,MAPLE                        ST,"(34.0346, -118.2572)",34.0346,-118.2572,90015
298,100106553,2/18/10,2/18/10,1430,1,Central,158,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,CENTRAL                      AV,INDUSTRIAL                   ST,"(34.0374, -118.2406)",34.0374,-118.2406,90013
299,100106576,2/19/10,2/19/10,150,1,Central,182,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,12TH,HOPE,"(34.0408, -118.2644)",34.0408,-118.2644,90015
300,100106586,2/18/10,2/14/10,1300,1,Central,111,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",,39,M,A,203.0,OTHER BUSINESS,,,IC,Invest Cont,956.0,,,,900    MEI LING                     WY,,"(34.0649, -118.2381)",34.0649,-118.2381,90012
301,100106589,2/19/10,1/26/10,1000,1,Central,176,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,700    WALL                         ST,,"(34.0419, -118.2485)",34.0419,-118.2485,90014
302,100106592,2/18/10,2/18/10,1000,1,Central,171,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,32,M,W,503.0,HOTEL,,,IC,Invest Cont,341.0,,,,900 W  OLYMPIC                      BL,,"(34.0454, -118.2657)",34.0454,-118.2657,90015
303,100106605,2/19/10,2/19/10,745,1,Central,155,946,OTHER MISCELLANEOUS CRIME,914,0,M,W,726.0,POLICE FACILITY,,,AO,Adult Other,946.0,,,,200 E  6TH                          ST,,"(34.0446, -118.249)",34.0446,-118.249,90014
304,100106614,2/19/10,2/19/10,1500,1,Central,159,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0311 0329 0906 1402,0,M,H,101.0,STREET,,,IC,Invest Cont,745.0,998.0,,,PALMETTO,SEATON,"(34.0401, -118.2359)",34.0401,-118.2359,90013
305,100106618,2/19/10,2/19/10,1045,1,Central,185,946,OTHER MISCELLANEOUS CRIME,1402,0,M,H,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,946.0,998.0,,,1200    SANTEE                       ST,,"(34.0363, -118.2573)",34.0363,-118.2573,90015
306,100106619,2/19/10,2/19/10,1010,1,Central,185,946,OTHER MISCELLANEOUS CRIME,1402,0,M,W,702.0,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,946.0,998.0,,,200 E  OLYMPIC                      BL,,"(34.0396, -118.2558)",34.0396,-118.2558,90014
307,100106623,2/19/10,2/18/10,1100,1,Central,152,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,29,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,400 W  6TH                          ST,,"(34.0474, -118.2531)",34.0474,-118.2531,90014
308,100106633,2/19/10,2/19/10,1700,1,Central,176,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1609,40,M,H,406.0,OTHER STORE,,,AA,Adult Arrest,740.0,,,,8TH                          ST,SANTEE,"(34.0408, -118.2511)",34.0408,-118.2511,90014
309,100106638,2/19/10,2/19/10,1240,1,Central,151,624,BATTERY - SIMPLE ASSAULT,444,48,M,B,108.0,PARKING LOT,113.0,SIMULATED GUN,IC,Invest Cont,624.0,,,,WILSHIRE,FIGUEROA,"(34.0509, -118.2605)",34.0509,-118.2605,90017
